id,lad,population,area_km2,pop_density_km2,lte_4G
S214,E07000038,3454.0,7.22002968071526,8847.794210735634,1
S123,E07000038,4083.0,8.773279303146646,8607.3425452702,1
S212,E07000038,593.0,1.4380738589181117,7626.498060043026,1
S459,E07000038,4299.0,10.833330747909097,7339.341654853215,1
S426,E07000038,5301.0,21.840528918587502,4488.965991652167,1
S183,E07000038,820.0,4.259456422026301,3560.502832247639,1
S173,E07000038,3498.0000000000005,23.063691685693854,2805.063156550801,1
S213,E07000038,1188.0,8.742915063166228,2513.1120002950133,1
DE556,E07000038,3506.0,31.838704365694003,2036.611482242558,1
S184,E07000038,757.0,7.207573645250253,1942.488487142397,1
S445,E07000038,3923.0,37.825982899195395,1918.1375567855991,1
S215,E07000038,522.0,7.946641955087767,1214.8943707491687,1
S427,E07000038,2207.0,37.8688346491087,1077.8840738595318,1
S187,E07000038,883.0,32.318765557396986,505.3096614654807,1
S450,E07000038,780.0,32.53363936376011,443.4183045617222,0
DE245,E07000039,503.99999999999994,0.4196915503402001,20197.146430033845,1
DE110,E07000039,6935.0,6.65129732966261,17535.97050848659,1
DE119,E07000039,6556.0,7.207547424804146,15298.228363893897,1
DE736,E07000039,3097.0,3.919059492440872,13290.736641041296,1
DE30,E07000039,3836.0,8.418633405621291,7663.491914160241,1
DE159,E07000039,6619.0,15.21611367894431,7316.078222030036,1
DE117,E07000039,4440.0,15.52141585383974,4811.066264633131,1
DE150,E07000039,4257.0,19.080217923348012,3752.40773782476,1
DE126,E07000039,3686.0,19.739935479261547,3140.5036709290384,1
DE655,E07000039,5093.0,39.562165730871705,2165.126729290115,1
DE738,E07000039,2955.0,25.44709230670084,1953.0304899663804,1
DE722,E07000039,1963.0000000000002,20.71795684351734,1593.5404018944012,1
DE656,E07000039,4949.0,56.02950597939129,1485.560570447039,1
DE128,E07000039,1640.0,51.85492992765134,531.9165457398934,1
DE737,E07000039,1177.0,38.961227169017704,508.08168344709213,1
DE65,E07000039,1751.0,80.92191241099876,363.9231740096837,0
EX81,E07000040,3727.0000000000005,1.0313569943249095,47328.04671243911,1
EX84,E07000040,4267.0,2.428104618824077,23015.661105517764,1
EX142,E07000040,2636.0,1.7156249989690497,20122.931389203346,1
EX141,E07000040,2871.0,2.293477199347303,16394.832044598646,1
EX83,E07000040,2603.0,2.3026689872225248,14805.083551604563,1
EX82,E07000040,4421.0,4.007585779550043,14447.93883488864,1
EX122,E07000040,4293.0,4.79969542817785,11714.275007173475,1
EX109,E07000040,4730.0,5.349841643249578,11579.463020797124,1
EX96,E07000040,2849.0,3.7502808856374927,9949.399264133812,1
EX108,E07000040,2438.0,3.564656271839336,8957.447038603763,1
EX30,E07000040,2610.0,9.450178986407087,3617.1679956827124,1
EX85,E07000040,2931.0000000000005,15.938919637022952,2408.3807311593205,1
DT73,E07000040,3485.0,24.66142496352542,1850.7715794594224,1
EX135,E07000040,4151.0,33.41185378250929,1627.1229383708858,1
EX111,E07000040,4048.0,38.90525785403725,1362.700490245087,1
EX53,E07000040,2346.0,30.80479399468802,997.419616495355,1
EX123,E07000040,1116.0,18.6327317226493,784.4330261536536,1
EX51,E07000040,1861.0,31.863966698526134,764.9177519519918,1
EX52,E07000040,2841.0,62.63740297445733,594.0263323599926,1
EX152,E07000040,2605.0,68.8466800500654,495.55622005744027,1
EX97,E07000040,868.0,23.447975504355142,484.82229140254003,1
EX246,E07000040,1856.0,51.69637380725397,470.2037595895803,1
EX143,E07000040,1901.0,60.862740741006924,409.0711181276129,1
EX100,E07000040,2086.0,67.36979583286717,405.5246697298036,1
EX144,E07000040,1382.0,50.64565495563616,357.38313778078265,1
EX137,E07000040,1918.0,71.23123465626847,352.65198858366625,1
EX124,E07000040,240.0,9.76926474033123,321.7492692744155,1
EX55,E07000040,1385.0,57.74349887125712,314.13395637567754,1
